epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,49.9501,0.98778,2.87134,1.34968,0.01138,1,0.24203,0.15086,0.89893,3.38947,1.42886,0.00010002,0.00010002,0.00010002
2,76.0957,0.93429,2.19092,1.24405,0.01265,1,0.14225,0.09689,1.08087,3.34814,1.58784,0.000209559,0.000209559,0.000209559
3,101.672,0.86794,1.48772,1.24539,0.17762,0.33333,0.12873,0.08445,1.40934,3.3183,1.8991,0.000311396,0.000311396,0.000311396
4,127.297,0.8954,1.21179,1.2191,0.16634,0.33333,0.09099,0.05897,1.62539,3.71372,2.11387,0.000405531,0.000405531,0.000405531
5,153.261,0.8921,1.27772,1.20547,0.3748,0.33333,0.24963,0.17245,1.54923,3.60764,2.10335,0.000491965,0.000491965,0.000491965
6,178.923,0.81971,1.18393,1.11052,0.10686,0.33333,0.06311,0.03857,1.6198,5.65383,2.19746,0.000570697,0.000570697,0.000570697
7,204.884,0.85229,1.17155,1.15517,0.20972,0.33333,0.20863,0.14137,1.86708,5.138,2.50976,0.000641728,0.000641728,0.000641728
8,230.847,0.9316,1.21587,1.20809,0.13004,0.33333,0.08302,0.0453,1.83196,7.965,2.36037,0.000705058,0.000705058,0.000705058
9,260.695,0.80382,1.07866,1.12665,0.11873,0.33333,0.07515,0.03614,1.95871,7.52819,2.44975,0.000760685,0.000760685,0.000760685
10,287.247,0.89536,1.13065,1.19105,0.2597,0.22222,0.14065,0.09972,1.69739,5.3972,2.19804,0.000808612,0.000808612,0.000808612
11,314.681,0.80353,0.99954,1.09935,0.11366,0.33333,0.07341,0.04009,1.76208,5.88715,2.23788,0.000848836,0.000848836,0.000848836
12,342.341,0.83667,1.00358,1.17465,0.17355,0.33333,0.10001,0.05406,1.99444,5.95154,2.25855,0.00088136,0.00088136,0.00088136
13,368.27,0.8578,1.08723,1.14256,0.17365,0.33333,0.08483,0.05588,1.95442,5.96829,2.11028,0.000906181,0.000906181,0.000906181
14,394.405,0.87885,1.07289,1.16938,0.11858,0.22222,0.06874,0.03587,2.08772,7.23072,2.35341,0.000923301,0.000923301,0.000923301
15,420.271,0.80256,0.99509,1.12891,0.26247,0.22222,0.2749,0.22926,1.84735,6.7436,2.40725,0.000896846,0.000896846,0.000896846
16,446.4,0.89459,1.02928,1.18524,0.2058,0.33333,0.20274,0.15293,1.59459,5.33839,2.01652,0.000841835,0.000841835,0.000841835
17,472.451,0.79283,0.9671,1.13076,0.12767,0.33333,0.17076,0.1157,1.78175,5.8505,2.12902,0.000786824,0.000786824,0.000786824
18,498.728,0.79406,0.93479,1.11908,0.11075,0.33333,0.16005,0.10668,1.91152,7.94214,2.20103,0.000731813,0.000731813,0.000731813
19,524.703,0.76322,0.93545,1.13218,0.11398,0.33333,0.1481,0.11284,2.08103,8.50588,2.60362,0.000676802,0.000676802,0.000676802
20,550.792,0.77018,0.87814,1.12835,0.12255,0.33333,0.05154,0.03944,2.24364,6.62961,2.71142,0.000621791,0.000621791,0.000621791
21,576.532,0.74329,1.28141,1.1123,0.13138,0.33333,0.05025,0.03633,2.50339,5.6882,3.31291,0.00056678,0.00056678,0.00056678
22,602.097,0.67471,1.24271,1.07753,0.11845,0.33333,0.04514,0.03256,2.47163,5.377,3.25143,0.000511769,0.000511769,0.000511769
23,628.825,0.70376,1.20971,1.07983,0.13331,0.33333,0.05031,0.03845,2.46263,5.09222,3.35833,0.000456758,0.000456758,0.000456758
24,654.327,0.64635,1.152,1.04432,0.1561,0.33333,0.0624,0.0484,2.26366,5.02399,3.18568,0.000401747,0.000401747,0.000401747
25,680.262,0.62663,1.09763,1.04794,0.13935,0.33333,0.06921,0.05557,2.11302,5.42357,3.02352,0.000346736,0.000346736,0.000346736
26,707.145,0.65718,1.05589,1.0201,0.12887,0.33333,0.05266,0.03857,2.21546,7.13258,3.05271,0.000291725,0.000291725,0.000291725
27,733.217,0.65377,0.99345,1.03176,0.12614,0.33333,0.05527,0.03919,1.9708,7.48694,2.65071,0.000236714,0.000236714,0.000236714
28,758.808,0.57712,0.96686,1.00952,0.124,0.33333,0.05965,0.04115,2.03015,7.4453,2.67134,0.000181703,0.000181703,0.000181703
29,784.579,0.59008,0.97028,1.03854,0.12275,0.33333,0.0627,0.04326,2.02489,7.41693,2.64826,0.000126692,0.000126692,0.000126692
30,811.987,0.59143,1.00261,1.02003,0.11762,0.33333,0.06275,0.04332,2.0549,7.40193,2.67984,7.1681e-05,7.1681e-05,7.1681e-05
