epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,113.114,1.51272,2.96648,1.46461,0.00635,0.8548,0.25801,0.16441,1.01966,3.22085,1.41235,0.00021435,0.00021435,0.00021435
2,216.571,1.30475,1.76507,1.28032,0.84477,0.15197,0.54181,0.33881,1.06245,2.89309,1.44179,0.000432026,0.000432026,0.000432026
3,317.859,1.24163,1.4691,1.24246,0.47099,0.36551,0.46917,0.26718,1.11903,2.54492,1.51573,0.000638384,0.000638384,0.000638384
4,422.601,1.25536,1.40073,1.24719,0.44818,0.52361,0.40145,0.21699,1.43302,2.65656,2.02903,0.000833425,0.000833425,0.000833425
5,525.659,1.27642,1.35088,1.25673,0.34729,0.30772,0.27978,0.15573,1.54788,3.01084,2.28072,0.00101715,0.00101715,0.00101715
6,629.669,1.24188,1.3671,1.24013,0.50969,0.45128,0.4086,0.24797,1.42005,2.69545,1.92877,0.00118955,0.00118955,0.00118955
7,733.805,1.21742,1.32215,1.22848,0.49574,0.40272,0.41295,0.24525,1.54543,3.08479,2.37995,0.00121679,0.00121679,0.00121679
8,836.107,1.21958,1.2604,1.24135,0.40065,0.52295,0.41749,0.21759,1.60134,3.83501,2.35327,0.00118143,0.00118143,0.00118143
9,937.508,1.23756,1.26345,1.24976,0.58785,0.51264,0.51973,0.27196,1.51575,2.51945,1.96513,0.00114606,0.00114606,0.00114606
10,1039.72,1.24336,1.26179,1.25532,0.36782,0.58435,0.44422,0.26516,1.37314,2.97915,1.84401,0.00111069,0.00111069,0.00111069
11,1144.07,1.17621,1.11112,1.2071,0.46529,0.53874,0.42637,0.27358,1.29367,3.05001,1.79891,0.00107532,0.00107532,0.00107532
12,1247.92,1.19515,1.16487,1.22086,0.4488,0.62543,0.49163,0.29174,1.36367,2.4336,1.79063,0.00103995,0.00103995,0.00103995
13,1353.31,1.17648,1.07592,1.20218,0.46775,0.69029,0.60028,0.36678,1.47957,2.80099,1.83775,0.00100459,0.00100459,0.00100459
14,1455.34,1.12234,1.03843,1.16571,0.55088,0.61401,0.55141,0.34351,1.43525,2.0005,1.71164,0.000969219,0.000969219,0.000969219
15,1558.55,1.20522,1.0258,1.21317,0.50283,0.65424,0.54849,0.31565,1.35194,2.03046,1.70052,0.000933851,0.000933851,0.000933851
16,1662.46,1.11836,0.92617,1.17288,0.59996,0.47943,0.53875,0.34454,1.23491,2.28535,1.5436,0.000898484,0.000898484,0.000898484
