epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
17,1764.68,1.12973,0.93979,1.17247,0.61875,0.62333,0.59285,0.35899,1.27305,2.14564,1.57,0.000863116,0.000863116,0.000863116
18,1866.53,1.14485,0.90697,1.17687,0.52429,0.66059,0.58609,0.35719,1.30671,2.1618,1.59024,0.000827748,0.000827748,0.000827748
19,1967.49,1.09789,0.94164,1.17075,0.76809,0.63242,0.74686,0.44535,1.33553,1.8192,1.65661,0.00079238,0.00079238,0.00079238
20,2071.4,1.06665,0.88965,1.15451,0.58081,0.65727,0.64214,0.39526,1.31654,1.76919,1.69625,0.000757013,0.000757013,0.000757013
21,2173.86,1.07773,0.89953,1.13563,0.65289,0.5901,0.63188,0.35792,1.46606,1.94477,1.86798,0.000721645,0.000721645,0.000721645
22,2275.11,1.06717,0.87929,1.14046,0.61623,0.6803,0.70309,0.43867,1.34706,1.9061,1.72397,0.000686277,0.000686277,0.000686277
23,2375.61,0.99708,0.80362,1.10736,0.71826,0.5688,0.68317,0.42163,1.31128,2.04484,1.63966,0.000650909,0.000650909,0.000650909
24,2478.19,1.00492,0.80832,1.09491,0.75511,0.54292,0.68403,0.42272,1.37516,1.87394,1.801,0.000615542,0.000615542,0.000615542
25,2580.93,1.05412,0.8145,1.12439,0.68618,0.71938,0.74989,0.4894,1.17862,1.46357,1.48249,0.000580174,0.000580174,0.000580174
26,2685.01,0.99112,0.77902,1.10897,0.77071,0.65833,0.74707,0.48983,1.13854,1.64897,1.43659,0.000544806,0.000544806,0.000544806
27,2787.72,1.00502,0.77977,1.11731,0.65135,0.7271,0.77193,0.48432,1.17136,1.80153,1.44805,0.000509438,0.000509438,0.000509438
28,2888.97,0.99377,0.75039,1.10266,0.56979,0.7864,0.72613,0.47235,1.14965,1.8227,1.42254,0.000474071,0.000474071,0.000474071
29,2992.13,0.95088,0.70283,1.07267,0.65332,0.70787,0.72296,0.4532,1.22866,1.71932,1.5203,0.000438703,0.000438703,0.000438703
30,3093.42,0.93527,0.70865,1.07423,0.65381,0.73579,0.70478,0.44579,1.18994,1.62504,1.49347,0.000403335,0.000403335,0.000403335
31,3193.71,0.94634,0.77813,1.0944,0.69088,0.67302,0.7336,0.47418,1.16041,1.82891,1.46066,0.000367967,0.000367967,0.000367967
32,3293.92,0.90435,0.73681,1.04047,0.70088,0.64708,0.73024,0.48076,1.13084,1.97775,1.44326,0.0003326,0.0003326,0.0003326
33,3396.37,0.9191,0.71759,1.06374,0.65175,0.74246,0.70502,0.45542,1.17221,1.83867,1.49602,0.000297232,0.000297232,0.000297232
34,3509.78,0.88145,0.67574,1.04666,0.60805,0.72506,0.69123,0.46615,1.16379,1.71526,1.48942,0.000261864,0.000261864,0.000261864
35,3628.13,0.8847,0.65378,1.04822,0.71309,0.63856,0.67119,0.44596,1.14319,1.78965,1.44645,0.000226497,0.000226497,0.000226497
36,3730.96,0.86357,0.62697,1.02961,0.64508,0.76618,0.70627,0.45365,1.17791,1.79727,1.46976,0.000191129,0.000191129,0.000191129
37,3834.69,0.85061,0.6318,1.02836,0.68871,0.74887,0.77518,0.51913,1.13785,1.55141,1.44121,0.000155761,0.000155761,0.000155761
38,3936.77,0.82028,0.60942,1.03114,0.70519,0.75742,0.78452,0.5253,1.12326,1.45794,1.42119,0.000120393,0.000120393,0.000120393
39,4039.27,0.84145,0.61983,1.0277,0.6719,0.75536,0.76127,0.50475,1.12861,1.48091,1.41797,8.50255e-05,8.50255e-05,8.50255e-05
40,4139.72,0.81644,0.59582,1.01377,0.68434,0.75247,0.74635,0.4929,1.13334,1.50628,1.42201,4.96578e-05,4.96578e-05,4.96578e-05
